,ben_picks,gabe_picks,bet_type
1,florida,michigan,line
2,florida,tenn,line
3,wisconsin,michigan,line
4,tenn,georgia,line
5,florida,vanderbilt,line
6,oklahoma,tcu,line
7,stanford,wash,line
8,texas,okst,line
9,bills,patriots,line
10,steelers,chiefs,line
11,michst,byu,line
12,nd,ncstate,line
13,fsu,miami,line
14,georgia,southcarolina,line
15,tenn,texasa&m,line
16,kentucky,vanderbilt,line
17,arkansas,bama,line
18,missst,byu,line
19,maryland,minnesota,line
20,miami,unc,line
21,florida,mizzou,line
22,tenn,bama,line
23,arkansas,olemiss,line
24,wf,fsu,line
25,stanford,nd,line
26,wisconsin,ohiostate,line
27,vt,miami,line
28,tcu,wvu,line
29,purdue,nebraska,line
30,wisconsin,iowa,line
31,ncstate,louisville,line
32,illinois,michigan,line
33,missst,kentucky,line
34,stanford,colorado,line
35,lsu,olemiss,line
36,arkansas,auburn,line
37,texasa&m,bama,line
38,falcons,chargers,line
39,patriots,steelers,line
40,raiders,jags,line
41,49ers,buccs,line
42,cards,seahawks,line
43,jets,ravens,line
44,appstate,gsu,line
45,vt,pitt,line
46,clemson,fsu,line
47,okst,wvu,line
48,miami,nd,line
49,baylor,texas,line
50,stanford,arizona,line
51,ohiostate,nw,line
52,nebraska,wisconsin,line
53,georgia,florida,line
54,olemiss,auburn,line
55,tenn,southcarolina,line
56,mizzou,kentucky,line
57,michigan,michst,line
58,virginia,louisville,line
59,cowboys,eagles,line
60,seahawks,saints,line
61,pats,bills,line
62,buccs,raiders,line
63,jets,browns,line
64,broncos,chargers,line
65,panthers,cardinals,line
66,texans,lions,line
67,nd,navy,line
68,fsu,ncstate,line
69,maryland,michigan,line
70,wakeforest,virginia,line
71,baylor,tcu,line
72,miami,pitt,line
73,georgia,kentucky,line
74,florida,arkansas,line
75,olemiss,gsu,line
76,southcarolina,mizzou,line
77,bama,lsu,line
78,wisconsin,nw,line
79,nebraska,ohiostate,line
80,bc,louisville,line
81,syracuse,clemson,line
82,buccs,falcons,line
83,cowboys,browns,line
84,dolphins,jets,line
85,saints,49ers,line
86,panthers,rams,line
87,packers,colts,line
88,broncos,raiders,line
89,ravens,steelers,line
90,seahawks,bills,line
91,fsu,bc,line
92,clemson,pitt,line
93,psu,indiana,line
94,wf,louisville,line
95,texasa&m,olemiss,line
96,georgia,auburn,line
97,tenn,kentucky,line
98,florida,southcarolina,line
99,lsu,arkansas,line
100,stanford,oregon,line
101,mizzou,vanderbilt,line
102,ravens,browns,line
103,panthers,chiefs,line
104,saints,broncos,line
105,falcons,eagles,line
106,packers,titans,line
107,buccs,bears,line
108,dolphins,chargers,line
109,49ers,cardinals,line
110,steelers,cowboys,line
111,pats,seahawks,line
112,giants,bengals,line
113,jets,rams,line
114,nw,minnesota,line
115,purdue,wisconsin,line
116,texasa&m,texasSA,line
117,oklahoma,wvu,line
118,michigan,indiana,line
119,syracuse,fsu,line
120,arkansas,missst,line
121,tenn,mizzou,line
122,florida,lsu,line
123,okst,tcu,line
124,colts,titans,line
125,lions,jags,line
126,chiefs,buccs,line
127,vikings,cards,line
128,giants,bears,line
129,bengals,bills,line
130,cowboys,ravens,line
131,steelers,browns,line
132,dolphins,rams,line
133,49ers,pats,line
134,seahawks,eagles,line
135,packers,redskins,line
136,raiders,texans,line
137,texasa&m,lsu,line
138,nebraska,iowa,line
139,arkansas,mizzou,line
140,baylor,texastech,line
141,southcarolina,clemson,line
142,syracuse,pitt,line
143,michst,psu,line
144,wakeforest,bc,line
145,georgia,gatech,line
146,auburn,bama,line
147,kentucky,louisville,line
148,florida,fsu,line
149,tenn,vanderbilt,line
150,missst,olemiss,line
151,ohiostate,michigan,line
152,vikings,lions,line
153,redskins,cowboys,line
154,steelers,colts,line
155,texans,chargers,line
156,titans,bears,line
157,jags,bills,line
158,ravens,bengals,line
159,falcons,cards,line
160,49ers,dolphins,line
161,saints,rams,line
162,giants,browns,line
163,buccs,seahawks,line
164,panthers,raiders,line
165,broncos,chiefs,line
166,pats,jets,line
167,eagles,packers,line
168,wash,colorado,line
169,wvu,baylor,line
170,tcu,ksu,line
171,oklahoma,ohiostate,line
172,navy,temple,line
173,florida,bama,line
174,clemson,vt,line
175,wisconsin,psu,line
176,vikings,cowboys,line
177,broncos,jags,line
178,chiefs,falcons,line
179,packers,texans,line
180,eagles,bengals,line
181,saints,lions,line
182,49ers,bears,line
183,rams,pats,line
184,ravens,dolphins,line
185,raiders,bills,line
186,chargers,buccs,line
187,cards,redskins,line
188,steelers,giants,line
189,seahawks,panthers,line
190,colts,jets,line
191,chiefs,raiders,line
192,titans,broncos,line
193,panthers,chargers,line
194,texans,colts,line
195,browns,bengals,line
196,steelers,bills,line
197,cards,dolphins,line
198,lions,bears,line
199,vikings,jags,line
200,buccs,saints,line
201,eagles,redskins,line
202,49ers,jets,line
203,seahawks,packers,line
204,rams,falcons,line
205,giants,cowboys,line
206,pats,ravens,line
207,houston,sandiegostate,line
208,toledo,appstate,line
209,rams,seahawks,line
210,jets,dolphins,line
211,cowboys,buccs,line
212,giants,lions,line
213,ravens,eagles,line
214,packers,bears,line
215,vikings,colts,line
216,browns,bills,line
217,chiefs,titans,line
218,texans,jags,line
219,cards,saints,line
220,49ers,falcons,line
221,pats,broncos,line
222,raiders,chargers,line
223,steelers,bengals,line
224,panthers,redskins,line
225,byu,wyoming,line
226,troy,ohio,line
227,missst,miami(oh),line
228,bc,maryland,line
229,vanderbilt,ncstate,line
230,wf,temple,line
231,minn,washst,line
232,boise,baylor,line
233,nw,pitt,line
234,miami,wvu,line
235,texasa&m,ksu,line
236,southcarolina,southflorida,line
237,arkansas,vt,line
238,okst,colorado,line
239,georgia,tcu,line
240,stanford,unc,line
241,utah,indiana,line
242,tenn,nebraska,line
243,michigan,fsu,line
244,lsu,louisville,line
245,kentucky,gatech,line
246,wash,bama,line
247,ohiostate,clemson,line
248,florida,iowa,line
249,wisconsin,westmich,line
250,pennst,usc,line
251,auburn,oklahoma,line
252,giants,eagles,line
253,redskins,bears,line
254,bills,dolphins,line
255,saints,buccs,line
256,panthers,falcons,line
257,packers,vikings,line
258,jets,pats,line
259,jags,titans,line
260,chargers,browns,line
261,colts,raiders,line
262,49ers,rams,line
263,seahawks,cards,line
264,texans,bengals,line
265,steelers,ravens,line
266,chiefs,broncos,line
267,lions,cowboys,line
268,titans,texans,line
269,jets,bills,line
270,bengals,ravens,line
271,redskins,giants,line
272,packers,lions,line
273,colts,jags,line
274,eagles,cowboys,line
275,vikings,bears,line
276,panthers,buccs,line
277,steelers,browns,line
278,falcons,saints,line
279,dolphins,pats,line
280,cards,rams,line
281,chiefs,chargers,line
282,seahawks,49ers,line
283,broncos,raiders,line
284,texans,raiders,line
285,lions,seahawks,line
286,dolphins,steelers,line
287,packers,giants,line
288,clemson,bama,line
289,toronto,utah,line
290,seahwaks,falcons,line
291,texans,pats,line
292,chiefs,steelers,line
293,packers,cowboys,line
294,okc,gs,line
295,packers,falcons,line
296,pats,steelers,line
297,packers,falcons,line
298,pats,steelers,line
299,toronto,hornets,line
300,toronto,suns,line
301,toronto,milwak,line
302,cavs,pacers,line
303,memphis,saints,line
304,raptors,milwak,line
305,la,utah,line
306,portland,gs,line
307,okc,houston,line
308,cleveland,indiana,line
309,toronto,milwak,line
310,sa,memphis,line
311,chicago,celtics,line
312,okc,houston,line
313,la,utah,line
314,cleveland,indiana,line
315,houston,okc,line
316,celtics,bulls,line
317,la,utah,line
318,milwak,toronto,line
319,washington,atlanta,line
320,gs,portland,line
321,sa,memphis,line
322,okc,houston,line
323,la,utah,line
324,boston,chicago,line
325,washington,atlanta,line
326,toronto,milwak,line
327,sa,memphis,line
328,la,utah,line
329,boston,chicago,line
330,boston,washington,line
331,utah,gs,line
332,toronto,cleveland,line
333,texans,saints,line
334,sa,gs,line
335,boston,wash,line
336,boston,wash,over
337,sa,gs,line
338,sa,gs,under
339,cavs,boston,line
340,cavs,boston,under
341,cavs,boston,line
342,sa,gs,line
343,sa,gs,over
344,sa,gs,line
345,cleveland,boston,line
346,cleveland,boston,under
347,cleveland,boston,line
348,cleveland,boston,under
349,cleveland,gs,line
350,cleveland,gs,under
